applicant_ethnicity_observed,state_code,denial_reason_1,conforming_loan_limit,loan_type,tract_population,total_points_and_fees,co_applicant_age_above_62,co_applicant_age,applicant_ethnicity_3,prepayment_penalty_term,property_value,income,aus_3,balloon_payment,initially_payable_to_institution,tract_minority_population_percent,co_applicant_race_2,interest_only_payment,county_code,reverse_mortgage,co_applicant_race_4,other_nonamortizing_features,derived_loan_product_type,co_applicant_sex,submission_of_application,total_units,derived_msa_md,origination_charges,co_applicant_race_1,open_end_line_of_credit,applicant_race_3,derived_ethnicity,intro_rate_period,hoepa_status,lien_status,tract_owner_occupied_units,action_taken,applicant_ethnicity_2,applicant_race_4,co_applicant_ethnicity_2,applicant_sex_observed,denial_reason_4,derived_race,co_applicant_race_observed,aus_4,applicant_ethnicity_5,debt_to_income_ratio,lei,applicant_race_1,loan_purpose,applicant_credit_score_type,applicant_race_2,co_applicant_ethnicity_1,manufactured_home_secured_property_type,activity_year,occupancy_type,lender_credits,tract_to_msa_income_percentage,applicant_age,co_applicant_race_5,co_applicant_ethnicity_4,co_applicant_ethnicity_5,tract_one_to_four_family_homes,discount_points,total_loan_costs,denial_reason_3,applicant_ethnicity_1,interest_rate,aus_2,business_or_commercial_purpose,co_applicant_sex_observed,derived_dwelling_category,aus_5,construction_method,denial_reason_2,negative_amortization,applicant_age_above_62,combined_loan_to_value_ratio,applicant_race_5,derived_sex,co_applicant_ethnicity_3,co_applicant_ethnicity_observed,tract_median_age_of_housing_units,purchaser_type,rate_spread,applicant_race_observed,loan_term,preapproval,co_applicant_credit_score_type,manufactured_home_land_property_interest,aus_1,loan_amount,census_tract,applicant_sex,multifamily_affordable_units,applicant_ethnicity_4,ffiec_msa_md_median_family_income,co_applicant_race_3
3,CA,10,C,2,5185,,,8888,,,225000,,,2,3,28.95,,2,6019.0,2,,2,FHA:First Lien,4,3,1,23420,7381.93,7,2,,Ethnicity Not Available,,2,1,1606,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,50.0,128.0,8888,,,,2196,5721.93,14625.91,,4.0,5.5,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,31,2,,3,360,2,9,5,6,225000,6019006405.0,4,,,79400,
3,MS,10,C,2,3732,,,8888,,,275000,,,2,3,47.48,,2,28121.0,2,,2,FHA:First Lien,4,3,1,27140,0.0,7,2,,Ethnicity Not Available,,2,1,845,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,53.22,99.09,8888,,,,1239,,6859.01,,4.0,5.625,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,22,2,,3,360,2,9,5,6,265000,28121020601.0,4,,,76800,
3,CO,10,C,3,10167,,,8888,,,625000,,,2,3,30.45,,2,8041.0,2,,2,VA:First Lien,4,3,1,17820,3842.29,7,2,,Ethnicity Not Available,,2,1,2182,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,346.43,137.72,8888,,,,2359,1852.29,6344.72,,4.0,6.0,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,11,2,,3,360,2,9,5,6,625000,8041007603.0,4,,,105000,
3,NC,10,C,2,3115,,,8888,,,155000,,,2,3,53.19,,2,37065.0,2,,2,FHA:First Lien,4,3,1,40580,4108.37,7,2,,Ethnicity Not Available,,2,1,1053,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,1,2023,1,,83.83,8888,,,,1654,,10359.06,,4.0,6.75,,2,3,Single Family (1-4 Units):Manufactured,,2,,2,,,,Sex Not Available,,3,29,2,,3,360,2,9,1,6,155000,37065020800.0,4,,,77700,
3,TX,10,C,2,1606,,,8888,,,95000,,,2,3,67.75,,2,48179.0,2,,2,FHA:First Lien,4,3,1,99999,700.0,7,2,,Ethnicity Not Available,,2,1,349,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,47.96,8888,,,,895,,4588.31,,4.0,6.0,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,63,2,,3,360,2,9,5,6,85000,48179950800.0,4,,,73200,
3,KY,10,C,2,4432,,,8888,,,135000,,,2,3,8.48,,2,21171.0,2,,2,FHA:First Lien,4,3,1,99999,1327.94,7,2,,Ethnicity Not Available,,2,1,1278,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,65.58,91.72,8888,,,,2028,,5117.91,,4.0,6.25,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,44,2,,3,360,2,9,5,6,125000,21171930400.0,4,,,64900,
3,AZ,10,C,4,4833,,,8888,,,225000,,,2,3,93.38,,2,4003.0,2,,2,FSA/RHS:First Lien,4,3,1,43420,0.0,7,2,,Ethnicity Not Available,,2,1,1250,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,72.22,8888,,,,1568,1571.76,2952.42,,4.0,6.125,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,36,2,,3,360,2,9,5,6,225000,4003000700.0,4,,,78000,
3,FL,10,C,2,4658,,,8888,,,155000,,,2,3,14.6,,2,12053.0,2,,2,FHA:First Lien,4,3,1,45300,3734.55,7,2,,Ethnicity Not Available,,2,1,2241,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,1,2023,1,50.0,70.39,8888,,,,3029,1939.55,8345.35,,4.0,6.625,,2,3,Single Family (1-4 Units):Manufactured,,2,,2,,,,Sex Not Available,,3,33,2,,3,360,2,9,1,6,125000,12053040802.0,4,,,89400,
3,OH,10,C,2,5363,,,8888,,,185000,,,2,3,14.45,,2,39061.0,2,,2,FHA:First Lien,4,3,1,17140,624.0,7,2,,Ethnicity Not Available,,2,1,1770,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,96.13,8888,,,,2128,908.25,5187.18,,4.0,8.0,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,61,2,,3,360,2,9,5,6,185000,39061021202.0,4,,,102300,
3,TX,10,C,2,3516,,,8888,,,285000,,,2,3,57.59,,2,48117.0,2,,2,FHA:First Lien,4,3,1,99999,700.0,7,2,,Ethnicity Not Available,,2,1,946,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,145.55,106.93,8888,,,,1689,,9165.41,,4.0,6.5,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,53,2,,3,360,2,9,5,6,285000,48117950600.0,4,,,73200,
