AGE_HEAD,AGE_WIFE,BEHIND_ON_MORTGAGE,BEST_INCOME,CC_ANNUAL_2018,CC_WEEKLY_2018,DEFAULT,DRMI,DRMI_COMMON,DRMI_COMMON_W,DRMI_W,DSV_ANNUAL,DSV_ANNUAL_W,DSV_COMMON,DSV_COMMON_W,DSV_FULL,DSV_FULL_W,DTI_PROXY,DTI_PROXY_V2,DTI_PROXY_W,EAD,FAMILY_ID,FAMILY_INCOME,FORECLOSURE,HAS_MORTGAGE,HEAD_EMPLOY_MENTION1,HEAD_EMPLOY_MENTION2,HEAD_EMPLOY_MENTION3,HOME_VALUE,HOME_VALUE_W,IS_HOMEMAKER,LOG_DRMI_COMMON,LOG_DSV_COMMON,LOG_HOME_VALUE,LOG_MORTGAGE_BALANCE,LOG_WIFE_WAGES_SALARY_RAW,LTV,LTV_W,MARITAL_STATUS,MONTHLY_INCOME,MORTGAGE_BALANCE,MORTGAGE_BALANCE_W,MORTGAGE_PAYMENT_MO,N_CHILDREN,OWN_RENT,RE_BUFFER,STATE,WIFE_EMPLOY_MENTION1,WIFE_EMPLOY_MENTION2,WIFE_EMPLOY_MENTION3,WIFE_HAS_WAGES,WIFE_HRS_ADULT_CARE,WIFE_HRS_ADULT_CARE_W,WIFE_HRS_CHILDCARE,WIFE_HRS_CHILDCARE_W,WIFE_HRS_HOUSEWORK,WIFE_HRS_HOUSEWORK_W,WIFE_WAGES_SALARY_RAW,WIFE_WAGES_SALARY_RAW_W,YEAR
51.0,53.0,5,40000.0,8495.24,163.37,0.0,0.423978431372549,0.1773098039215686,0.1773098039215686,0.423978431372549,17298.32,17298.32,7234.24,7234.24,17298.32,17298.32,,0.444,,204000.0,127.0,0,0,1,1.0,0,0,395000.0,395000.0,0,0.1632320085298132,8.88671881059557,12.886643575525625,12.225880174775122,10.59665973278358,0.5164556962025316,0.5164556962025316,1,0.0,204000.0,204000.0,1480,0,1,17298.32,20,1.0,6,0,1,0.0,0.0,0.0,0.0,8.0,8.0,40000.0,40000.0,2019
62.0,61.0,5,56000.0,5655.0,108.75,0.0,7.06498,4.29364,4.29364,7.06498,70649.8,70649.8,42936.4,42936.4,70649.8,70649.8,,0.2142857142857142,,50000.0,132.0,0,0,1,1.0,0,0,120000.0,120000.0,0,1.6665060999815573,10.667498519995473,11.695255355062796,10.819798284210286,10.933124826700707,0.4166666666666667,0.4166666666666667,1,0.0,50000.0,50000.0,1000,0,1,70649.8,15,1.0,0,0,1,0.0,0.0,30.0,30.0,20.0,20.0,56000.0,56000.0,2019
44.0,40.0,5,,8823.1,169.675,0.0,1.597532857142857,1.3855214285714286,1.3855214285714286,1.597532857142857,89461.84,89461.84,77589.2,77589.2,89461.84,89461.84,,,,280000.0,136.0,0,0,1,1.0,0,0,400000.0,400000.0,1,0.8694177287764494,11.259196409536433,12.899222326086994,12.54254845357358,0.0,0.7,0.7,1,0.0,280000.0,280000.0,3200,2,1,89461.84,42,6.0,0,0,5,0.0,0.0,50.0,50.0,40.0,40.0,0.0,0.0,2019
71.0,74.0,5,,8905.0,171.25,0.0,1.1660338983050849,0.5364372881355932,0.5364372881355932,1.1660338983050849,13759.2,13759.2,6329.96,6329.96,13759.2,13759.2,,,,59000.0,148.0,0,0,1,4.0,6,0,350000.0,350000.0,0,0.4294662870047862,8.753207162406966,12.765691290604371,10.985309671896765,0.0,0.1685714285714285,0.1685714285714285,1,0.0,59000.0,59000.0,732,0,1,13759.2,36,4.0,6,0,5,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,2019
36.0,40.0,5,60629.0,8495.24,163.37,0.0,0.2259069232927039,0.1431975097501606,0.1431975097501606,0.2259069232927039,9986.080000000002,9986.080000000002,6329.96,6329.96,9986.080000000002,9986.080000000002,,0.2968876280327895,,221022.0,150.0,0,0,1,1.0,0,0,360000.0,360000.0,0,0.1338291693160331,8.753207162406966,12.793862088206213,12.306022047482925,11.012545099065775,0.61395,0.61395,1,0.0,221022.0,221022.0,1500,0,1,9986.080000000002,20,1.0,0,0,1,0.0,0.0,0.0,0.0,7.0,7.0,60629.0,60629.0,2019
73.0,71.0,5,,,,0.0,1.4718732755542572,0.6849049458456411,0.6849049458456411,1.4718732755542572,27206.4,27206.4,12659.92,12659.92,27206.4,27206.4,,,,92421.0,158.0,0,0,1,4.0,0,0,300000.0,300000.0,0,0.5217091502520667,9.446275362884068,12.611541086966117,11.434120324527695,0.0,0.30807,0.30807,1,0.0,92421.0,92421.0,1053,0,1,27206.4,24,4.0,0,0,5,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,2019
53.0,52.0,5,35000.0,7022.08,135.04,0.0,3.80835,3.1015,3.1015,3.80835,39606.84,39606.84,32255.6,32255.6,39606.84,39606.84,,0.3462857142857143,,52000.0,165.0,0,0,1,1.0,0,0,169000.0,169000.0,0,1.4113527604606677,10.381477952448517,12.037659911047468,10.859018228147889,10.463131911491969,0.3076923076923077,0.3076923076923077,1,0.0,52000.0,52000.0,1010,1,1,39606.84,34,3.0,0,0,1,5.0,5.0,10.0,10.0,20.0,20.0,35000.0,35000.0,2019
63.0,57.0,5,150000.0,10698.09,205.7325,0.0,0.4914,0.1614785714285714,0.1614785714285714,0.4914,27518.4,27518.4,9042.8,9042.8,27518.4,27518.4,,0.192,,280000.0,171.0,0,0,1,1.0,0,0,500000.0,500000.0,0,0.149693824008267,9.10983471904454,13.122365377402328,12.54254845357358,11.918397239722838,0.56,0.56,1,0.0,280000.0,280000.0,2400,0,1,27518.4,27,1.0,0,0,1,0.0,0.0,0.0,0.0,10.0,10.0,150000.0,150000.0,2019
28.0,42.0,5,42000.0,5982.599999999999,115.05,0.0,2.664664516129032,1.859335483870968,1.859335483870968,2.664664516129032,33041.84,33041.84,23055.76,23055.76,33041.84,33041.84,,0.2571428571428571,,62000.0,174.0,0,0,1,1.0,0,0,250000.0,250000.0,0,1.0505892495378495,10.045714280916014,12.429220196836384,11.034905792929417,10.645448706505872,0.248,0.248,1,0.0,62000.0,62000.0,900,2,1,33041.84,14,1.0,0,0,1,0.0,0.0,6.0,6.0,20.0,20.0,42000.0,42000.0,2019
45.0,43.0,5,96000.0,12255.23,235.6775,0.0,0.597246,0.3076406666666667,0.3076406666666667,0.597246,35834.76,35834.76,18458.44,18458.44,35834.76,35834.76,,0.25,,300000.0,175.0,0,0,1,1.0,0,0,550000.0,550000.0,0,0.2682244956188426,9.82333117173538,13.21767537538882,12.611541086966117,11.472113887062386,0.5454545454545454,0.5454545454545454,1,0.0,300000.0,300000.0,2000,1,1,35834.76,4,1.0,0,0,1,0.0,0.0,7.0,7.0,14.0,14.0,96000.0,96000.0,2019
