FAMILY_ID_2019,STATE_2019,STATE_CURRENT_2019,N_IN_FU,AGE_HEAD,SEX_HEAD,AGE_WIFE,SEX_WIFE,N_CHILDREN,AGE_YOUNGEST_CHILD,MARITAL_STATUS,OWN_RENT,HOME_VALUE,HAS_MORTGAGE,MORTGAGE_BALANCE,MORTGAGE_PAYMENT_MO,MORTGAGE_RATE_TYPE,MORTGAGE_INT_RATE,BEHIND_ON_MORTGAGE,FORECLOSURE,HEAD_EMPLOY_MENTION1,HEAD_EMPLOY_MENTION2,HEAD_EMPLOY_MENTION3,HEAD_WEEKS_EMPLOYED,HEAD_HOURS_LAST_YEAR,HEAD_HOURS_PER_WEEK,WIFE_IN_FU,WIFE_EMPLOY_MENTION1,WIFE_EMPLOY_MENTION2,WIFE_EMPLOY_MENTION3,WIFE_WEEKS_EMPLOYED,WIFE_HOURS_LAST_YEAR,WIFE_HRS_HOUSEWORK,WIFE_HRS_PERSONAL_CARE,WIFE_HRS_SHOPPING,WIFE_HRS_CHILDCARE,WIFE_HRS_ADULT_CARE,WIFE_HRS_VOLUNTEER,WIFE_HRS_EDUCATION,WIFE_HRS_LEISURE,WIFE_HAS_WAGES,WIFE_WAGES_SALARY_RAW,WIFE_BONUS_AMT,WIFE_OVERTIME_AMT,WIFE_OTHER_LABOR_INC,WIFE_WORK_WEEKS_2018,WIFE_WEEKLY_HOURS_2018,HEAD_LABOR_INC_2018,WIFE_WAGES_CLEAN,WIFE_LABOR_INC_TOTAL,FAMILY_INCOME_2018,YEAR,DSV_ANNUAL,RE_BUFFER,EAD,DRMI,LTV,IS_HOMEMAKER,DEFAULT,MONTHLY_INCOME,DTI_PROXY,DSV_COMMON,DSV_FULL,DRMI_COMMON,DRMI_W,DRMI_COMMON_W,DSV_COMMON_W,DSV_FULL_W,DSV_ANNUAL_W,MORTGAGE_BALANCE_W,HOME_VALUE_W,LTV_W,DTI_PROXY_W,WIFE_HRS_HOUSEWORK_W,WIFE_HRS_CHILDCARE_W,WIFE_HRS_ADULT_CARE_W,WIFE_WAGES_SALARY_RAW_W,LOG_DRMI_COMMON,LOG_DSV_COMMON,LOG_MORTGAGE_BALANCE,LOG_HOME_VALUE,LOG_WIFE_WAGES_SALARY_RAW,BEST_INCOME,DTI_PROXY_V2,FAMILY_INCOME_2018_SCALED,STATE_ABBR,CC_WEEKLY_2018,CC_ANNUAL_2018,LOG_CC_ANNUAL
4538.0,23,28,4,38.0,1,37.0,2,2,7,1,1,191000.0,1,152000.0,800,1,5.0,5,0,1.0,0,0,52,48.0,48.0,1,1.0,0,0,52,40.0,2.0,2.0,10.0,50.0,20.0,1.0,1.0,5.0,1,34000.0,0,0,0,1111.0,40.0,,0.0,0.0,0,2019,78013.52,78013.52,152000.0,2.566234210526316,0.7958115183246073,0,0.0,0.0,,66772.16,78013.52,2.196452631578948,2.566234210526316,2.196452631578948,66772.16,78013.52,78013.52,152000.0,191000.0,0.7958115183246073,,2.0,50.0,20.0,34000.0,1.1620416422751598,11.109056482375747,11.93164237875414,12.160033942617156,10.434145214930489,34000.0,0.2823529411764706,0,MO,118.255,6149.26,8.724249636329706
4549.0,36,41,5,42.0,1,40.0,2,3,2,1,1,240000.0,1,220000.0,1658,1,4.0,5,0,1.0,0,0,52,70.0,70.0,1,6.0,0,0,0,0.0,40.0,7.0,3.0,70.0,0.0,0.0,0.0,20.0,5,0.0,0,0,0,0.0,0.0,0.0,520.0,0.0,0,2019,103316.2,103316.2,220000.0,2.3480954545454544,0.9166666666666666,1,0.0,0.0,,94156.4,103316.2,2.1399181818181816,2.3480954545454544,2.1399181818181816,94156.4,103316.2,103316.2,220000.0,240000.0,0.9166666666666666,,40.0,70.0,0.0,0.0,1.1441967428348772,11.452723128978583,12.301387370778713,12.388398368982116,0.0,,,0,PA,171.25,8905.0,9.094480485881647
4553.0,34,39,2,61.0,1,67.0,2,0,0,1,1,85000.0,1,78000.0,594,2,4.0,1,5,5.0,0,0,0,0.0,0.0,1,4.0,0,0,0,0.0,7.0,7.0,1.0,10.0,0.0,0.0,0.0,50.0,5,0.0,0,0,0,0.0,0.0,0.0,520.0,0.0,0,2019,21886.800000000003,21886.800000000003,78000.0,1.4030000000000002,0.9176470588235294,0,1.0,0.0,,14613.56,21886.800000000003,0.9367666666666667,1.4030000000000002,0.9367666666666667,14613.56,21886.800000000003,21886.800000000003,78000.0,85000.0,0.9176470588235294,,7.0,10.0,0.0,0.0,0.6610199159745398,9.589773571036728,11.264476926102368,11.350418300109132,0.0,,,0,OK,135.04,7022.08,8.856957147237528
4561.0,5,8,2,72.0,1,67.0,2,0,0,1,1,400000.0,1,120000.0,1883,1,3.0,5,0,4.0,0,0,0,0.0,0.0,1,1.0,4,0,52,5.0,12.0,12.0,10.0,0.0,6.0,0.0,0.0,20.0,1,210.0,0,0,0,1111.0,5.0,520.0,0.0,0.0,0,2019,38199.2,38199.2,120000.0,1.5916333333333337,0.3,0,0.0,0.0,,17915.04,38199.2,0.74646,1.5916333333333337,0.74646,17915.04,38199.2,38199.2,120000.0,400000.0,0.3,,12.0,0.0,6.0,210.0,0.5575908820537184,9.793451679965912,11.695255355062796,12.899222326086994,5.351858133476067,520.0,2.0,0,CO,,,
4568.0,15,20,3,46.0,1,42.0,2,1,15,1,1,170000.0,1,82000.0,1300,1,3.0,5,0,1.0,0,0,52,40.0,40.0,1,1.0,0,0,52,40.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,10.0,1,98000.0,0,0,0,1111.0,40.0,,0.0,0.0,0,2019,12586.080000000002,12586.080000000002,82000.0,0.7674439024390245,0.4823529411764706,0,0.0,0.0,,6178.12,12586.080000000002,0.3767146341463414,0.7674439024390245,0.3767146341463414,6178.12,12586.080000000002,12586.080000000002,82000.0,170000.0,0.4823529411764706,,5.0,2.0,0.0,98000.0,0.3196999609033961,8.728931145490625,11.31448672129398,12.04355959836804,11.49273296168228,98000.0,0.1591836734693877,0,KY,108.75,5655.0,8.640472207576408
4570.0,5,8,5,44.0,1,43.0,2,3,6,1,1,800000.0,1,235000.0,3200,1,2.0,5,0,1.0,0,0,52,50.0,50.0,1,6.0,0,0,0,0.0,55.0,7.0,10.0,50.0,0.0,1.0,0.0,10.0,5,0.0,0,0,0,0.0,0.0,0.0,520.0,0.0,0,2019,106916.16,106916.16,235000.0,2.274811914893617,0.29375,1,0.0,0.0,,91153.4,106916.16,1.939434042553192,2.274811914893617,1.939434042553192,91153.4,106916.16,106916.16,235000.0,800000.0,0.29375,,55.0,50.0,0.0,0.0,1.0782170602866716,11.42031005102074,12.367345048436391,13.592368256649284,0.0,,,0,CO,,,
4578.0,32,37,4,39.0,1,35.0,2,2,9,1,1,127000.0,1,42000.0,748,1,6.0,5,0,1.0,0,0,52,40.0,40.0,1,1.0,0,0,52,40.0,15.0,6.0,2.0,10.0,0.0,2.0,2.0,4.0,1,33000.0,0,0,0,1111.0,40.0,,0.0,0.0,0,2019,29160.040000000005,29160.040000000005,42000.0,3.471433333333334,0.3307086614173228,0,0.0,0.0,,21847.800000000003,29160.040000000005,2.600928571428572,3.471433333333334,2.600928571428572,21847.800000000003,29160.040000000005,29160.040000000005,42000.0,127000.0,0.3307086614173228,,15.0,10.0,0.0,33000.0,1.2811917487100992,9.991901279107116,10.645448706505872,11.751950239425476,10.404293143019792,33000.0,0.272,0,ND,139.79500000000002,7269.340000000001,8.891558336971825
4583.0,13,18,2,65.0,1,60.0,2,0,0,1,1,450000.0,1,175000.0,1500,1,4.0,5,0,1.0,0,0,52,50.0,,1,1.0,0,0,52,60.0,10.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,1,90000.0,0,0,0,1111.0,60.0,,,0.0,0,2019,45994.0,45994.0,175000.0,1.3141142857142858,0.3888888888888889,0,0.0,0.0,,9042.8,45994.0,0.2583657142857143,1.3141142857142858,0.2583657142857143,9042.8,45994.0,45994.0,175000.0,450000.0,0.3888888888888889,,10.0,0.0,0.0,90000.0,0.2298138269089752,9.10983471904454,12.07254696717504,13.017005083966255,11.407576060361786,90000.0,0.2,0,IA,,,
4599.0,2,4,4,36.0,1,38.0,2,2,3,1,1,750000.0,1,300000.0,2400,1,3.0,5,0,1.0,0,0,52,40.0,40.0,1,1.0,6,0,25,45.0,30.0,8.0,10.0,70.0,0.0,2.0,0.0,5.0,1,30000.0,0,0,0,0.0,0.0,,280.0,0.0,0,2019,101780.64,101780.64,300000.0,1.6963440000000003,0.4,0,0.0,0.0,,85113.59999999999,101780.64,1.4185599999999998,1.6963440000000003,1.4185599999999998,85113.59999999999,101780.64,101780.64,300000.0,750000.0,0.4,,30.0,70.0,0.0,30000.0,0.8831723217389323,11.351753862713457,12.611541086966117,13.527829818844936,10.308985993422082,30000.0,0.96,0,AZ,168.75,8775.0,9.079776001955066
4600.0,12,17,4,33.0,1,31.0,2,2,3,1,1,150000.0,1,98000.0,1350,1,3.0,5,0,1.0,0,0,48,40.0,40.0,1,1.0,0,0,52,32.0,8.0,7.0,4.0,40.0,0.0,2.0,0.0,8.0,1,30000.0,0,0,0,1111.0,32.0,,0.0,0.0,0,2019,50471.72000000001,50471.72000000001,98000.0,2.575087755102041,0.6533333333333333,0,0.0,0.0,,40368.64,50471.72000000001,2.0596244897959184,2.575087755102041,2.0596244897959184,40368.64,50471.72000000001,50471.72000000001,98000.0,150000.0,0.6533333333333333,,8.0,40.0,0.0,30000.0,1.1182921926811276,10.60583329629422,11.49273296168228,11.918397239722838,10.308985993422082,30000.0,0.54,0,IN,,,
